"Time (s)","X (hPa)"
6.893693957E2,1.055752563E3
6.903291737E2,1.055752563E3
6.912891817E2,1.055667038E3
6.922492467E2,1.055667038E3
6.932091997E2,1.055467911E3
6.941690627E2,1.055467911E3
6.951289177E2,1.055574493E3
6.960889257E2,1.055576553E3
6.970488387E2,1.055582123E3
6.980087177E2,1.055582123E3
6.989685697E2,1.055582123E3
6.999283907E2,1.055183029E3
7.008878247E2,1.054918976E3
7.018472907E2,1.054713593E3
7.028067027E2,1.054627838E3
7.037661927E2,1.054627838E3
7.047261947E2,1.054914093E3
7.056863377E2,1.054980621E3
7.066465257E2,1.055283585E3
7.076067487E2,1.055294342E3
7.085669087E2,1.055332794E3
7.095270717E2,1.055536957E3
7.104872237E2,1.055536957E3
7.114471907E2,1.055594177E3
7.124072007E2,1.055594177E3
7.133673337E2,1.056280060E3
7.143274167E2,1.059813080E3
7.152875167E2,1.063604279E3
7.162476417E2,1.068928223E3
7.172077037E2,1.072327728E3
7.181677057E2,1.076106873E3
7.191277747E2,1.076106873E3
7.200878137E2,1.071613998E3
7.210476077E2,1.065789566E3
7.220075847E2,1.063255234E3
7.229677387E2,1.057804871E3
7.239275357E2,1.054122162E3
7.248871397E2,1.054122162E3
7.258468647E2,1.054122162E3
7.268065017E2,1.053737183E3
7.277663637E2,1.053737183E3
7.287262797E2,1.071883392E3
7.296860227E2,1.084744186E3
7.306459857E2,1.089076538E3
7.316058047E2,1.090482025E3
7.325655987E2,1.090482025E3
7.335253127E2,1.076597519E3
7.344851757E2,1.063137589E3
7.354449667E2,1.059102249E3
7.364045577E2,1.058972549E3
7.373643047E2,1.058623810E3
7.383244687E2,1.057972565E3
7.392848167E2,1.057927475E3
7.402451537E2,1.057456436E3
7.412053227E2,1.056879425E3
7.421655447E2,1.056249924E3
7.431257707E2,1.055927429E3
7.440857797E2,1.055675583E3
7.450454837E2,1.055377350E3
7.460051717E2,1.055363617E3
7.469647987E2,1.055305328E3
7.479245367E2,1.055305328E3
7.488842947E2,1.055357742E3
7.498439577E2,1.055357742E3
7.508036417E2,1.055122986E3
7.517630067E2,1.054848175E3
7.527225857E2,1.054563904E3
7.536823167E2,1.054442749E3
7.546421247E2,1.054173431E3
7.556020717E2,1.053871613E3
7.565622597E2,1.053871613E3
7.575224477E2,1.053900833E3
7.584825587E2,1.053900833E3
7.594426887E2,1.053751144E3
7.604028017E2,1.053663025E3
7.613629987E2,1.053620453E3
7.623232137E2,1.053603287E3
7.632831187E2,1.053603287E3
7.642427997E2,1.053405762E3
7.652025027E2,1.053178406E3
7.661622887E2,1.053091736E3
7.671222057E2,1.053056564E3
7.680820307E2,1.052791748E3
7.690417637E2,1.052791748E3
7.700016137E2,1.053045044E3
7.709613977E2,1.054338074E3
7.719213107E2,1.056280365E3
7.728812847E2,1.058194199E3
7.738411717E2,1.059176025E3
7.748010987E2,1.059176025E3
7.757608997E2,1.058071442E3
7.767206427E2,1.056589050E3
7.776808367E2,1.054301605E3
7.786410337E2,1.052585983E3
7.796012567E2,1.052529907E3
7.805615507E2,1.052492523E3
7.815218037E2,1.052453766E3
7.824820167E2,1.052446136E3
7.834421767E2,1.052316971E3
7.844025037E2,1.052002792E3
7.853626897E2,1.051924667E3
7.863229067E2,1.051890564E3
7.872832367E2,1.051741486E3
7.882436457E2,1.051741486E3
7.892041357E2,1.051851730E3
7.901645017E2,1.051861496E3
7.911248987E2,1.051906433E3
7.920851497E2,1.051913452E3
7.930450027E2,1.051913452E3
7.940048567E2,1.051848907E3
7.949651287E2,1.051843948E3
7.959248997E2,1.051756516E3
7.968846607E2,1.051756516E3
7.978444537E2,1.051617737E3
7.988042777E2,1.051488876E3
7.997644647E2,1.051394501E3
8.007245237E2,1.051249542E3
8.016846137E2,1.051217117E3
8.026447067E2,1.050953979E3
8.036048027E2,1.050953979E3
8.045649527E2,1.051119537E3
8.055251447E2,1.051257401E3
8.064853297E2,1.051297913E3
8.074453957E2,1.051257401E3
8.084050507E2,1.051101608E3
8.093647227E2,1.050797424E3
8.103244577E2,1.050777359E3
8.112842077E2,1.050685959E3
8.122438427E2,1.050685959E3
8.132034827E2,1.050796814E3
8.141631257E2,1.050845261E3
8.151226207E2,1.051060257E3
8.160822767E2,1.051147766E3
8.170417097E2,1.051147766E3
8.180011737E2,1.051147766E3
8.189605947E2,1.051269455E3
8.199200247E2,1.052887650E3
8.208800707E2,1.054450989E3
8.218396517E2,1.057199707E3
8.227992547E2,1.059498138E3
8.237587477E2,1.059498138E3
8.247183237E2,1.058675690E3
8.256779337E2,1.056429291E3
